elapsed (s),x-axis (g),y-axis (g),z-axis (g)
31.76,0.672,-0.184,-0.826
31.84,0.574,-0.379,-0.8170000000000001
31.92,0.64,-0.3720000000000001,-0.843
32.0,0.737,-0.277,-0.5579999999999999
32.08,0.7170000000000001,-0.204,-0.579
32.160000000000004,0.847,-0.07200000000000001,-0.607
32.24,1.358,0.316,-0.789
32.32,1.455,0.41,-0.769
32.4,1.179,0.316,-0.79
32.480000000000004,0.831,0.349,-0.377
32.56,0.8590000000000001,0.087,-0.28
32.64,1.031,-0.024,-0.256
32.72,0.7140000000000001,-0.069,-0.499
32.8,0.68,-0.101,-0.5660000000000001
32.88,0.59,0.374,-0.402
32.96,0.7090000000000001,0.77,0.146
33.04,0.893,0.475,0.103
33.12,0.6409999999999999,0.603,-0.02
33.2,0.767,0.667,-0.162
33.28,1.485,0.885,-0.205
33.36,1.171,0.79,-0.355
33.44,0.787,0.706,-0.631
33.52,0.84,0.7,-0.403
33.6,0.973,0.528,-0.028
33.68,0.7559999999999999,0.319,-0.358
33.76,0.59,0.022,-0.277
33.84,0.962,0.124,0.127
33.92,1.072,0.302,0.104
34.0,0.481,0.041,0.155
34.08,0.695,-0.042,0.199
34.160000000000004,1.01,0.264,0.36
34.24,0.826,0.138,0.342
34.32,1.112,0.401,0.5660000000000001
34.4,0.777,0.281,0.388
34.480000000000004,0.879,0.275,0.444
34.56,0.8909999999999999,0.303,0.418
34.64,0.873,0.302,0.391
34.72,0.872,0.303,0.395
34.800000000000004,0.8759999999999999,0.28,0.425
34.88,0.8759999999999999,0.315,0.42
34.96,0.878,0.314,0.412
35.04,0.8690000000000001,0.321,0.41
35.12,0.857,0.319,0.424
35.2,0.866,0.325,0.419
35.28,0.8540000000000001,0.328,0.399
35.36,0.908,0.201,0.371
35.44,0.916,0.197,0.375
35.52,0.905,0.225,0.377
35.6,0.906,0.228,0.39
35.68,0.91,0.21,0.386
35.76,0.899,0.217,0.385
35.84,0.918,0.21,0.386
35.92,0.916,0.208,0.361
36.0,0.938,0.193,0.34600000000000003
36.08,0.942,0.196,0.337
36.16,0.937,0.188,0.34
36.24,0.92,0.17600000000000002,0.354
36.32,0.919,0.18,0.35700000000000004
36.4,0.939,0.192,0.34600000000000003
36.48,0.935,0.18600000000000005,0.333
36.56,0.944,0.181,0.331
36.64,0.94,0.182,0.324
36.72,0.943,0.187,0.331
36.8,0.95,0.18,0.358
36.88,0.926,0.184,0.362
36.96,0.7979999999999999,0.221,0.321
37.04,0.6579999999999999,0.287,0.256
37.12,0.967,0.35600000000000004,0.298
37.2,0.904,0.271,0.207
37.28,0.75,0.222,0.08800000000000001
37.36,0.705,0.235,-0.021
37.44,0.6829999999999999,0.25,-0.108
37.52,0.604,0.225,-0.18600000000000005
37.6,0.841,0.392,-0.337
37.68,1.056,0.573,-0.353
37.76,1.556,0.652,-0.458
37.84,2.056,0.745,-0.2
37.92,1.621,0.746,0.055
38.0,-0.27,0.16899999999999998,0.111
38.08,-0.5920000000000001,-0.158,-0.161
38.16,0.161,0.129,-0.149
38.24,0.459,-0.027000000000000003,0.5329999999999999
38.32,1.426,-1.157,0.038
38.4,1.344,-3.775,-0.544
38.48,0.114,-0.183,-0.412
38.56,1.083,-0.898,-1.128
38.64,0.987,-0.7290000000000001,-0.583
38.72,0.502,-0.7040000000000001,-0.393
38.8,0.463,-0.688,-0.274
38.88,0.5870000000000001,-0.745,-0.208
38.96,0.5870000000000001,-0.8170000000000001,-0.446
39.04,0.436,-0.76,-0.583
39.12,0.8170000000000001,-0.264,-0.304
39.2,0.708,-0.768,-0.406
39.28,0.482,-0.746,-0.586
39.36,0.5379999999999999,-0.713,-0.488
39.44,0.605,-0.6940000000000001,-0.379
39.52,0.575,-0.685,-0.278
39.6,0.562,-0.7140000000000001,-0.375
39.68,0.57,-0.726,-0.409
39.76,0.581,-0.711,-0.369
39.84,0.573,-0.708,-0.355
39.92,0.569,-0.7170000000000001,-0.375
40.0,0.57,-0.715,-0.375
40.08,0.5710000000000001,-0.71,-0.375
40.16,0.562,-0.6990000000000001,-0.375
40.24,0.565,-0.731,-0.394
40.32,0.568,-0.614,-0.389
40.4,0.584,-0.636,-0.555
40.48,0.524,-0.625,-0.63
40.56,0.5539999999999999,-0.624,-0.574
