epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554151852454,2019-04-01T16.50.52.454,27.200,-0.532,-0.382,-0.858
1554151852534,2019-04-01T16.50.52.534,27.280,-0.535,-0.458,-0.826
1554151852614,2019-04-01T16.50.52.614,27.360,-0.553,-0.533,-0.840
1554151852694,2019-04-01T16.50.52.694,27.440,-0.463,-0.675,-0.856
1554151852774,2019-04-01T16.50.52.774,27.520,-0.320,-0.770,-0.701
1554151852854,2019-04-01T16.50.52.854,27.600,-0.379,-0.811,-0.634
1554151852934,2019-04-01T16.50.52.934,27.680,-0.327,-0.789,-0.518
1554151853014,2019-04-01T16.50.53.014,27.760,-0.140,-0.775,-0.458
1554151853094,2019-04-01T16.50.53.094,27.840,-0.083,-0.812,-0.395
1554151853174,2019-04-01T16.50.53.174,27.920,0.016,-0.781,-0.402
1554151853254,2019-04-01T16.50.53.254,28.000,0.261,-0.603,-0.396
1554151853334,2019-04-01T16.50.53.334,28.080,0.302,-0.664,-0.424
1554151853414,2019-04-01T16.50.53.414,28.160,0.392,-0.834,-0.399
